AuthorNames-Deduped,AminerCitationCount_02-2019,XPloreCitationCount_02-2019
Giovane R. Kuhn;Manuel Menezes de Oliveira Neto;Leandro A. F. Fernandes,77,45
Minho Kim;Alireza Entezari;JÃ¶rg Peters,50,20
Heike Leitte;Michael BÃ¶ttinger;Gerik Scheuermann,76,44
Lujin Wang;Joachim Giesen;Kevin T. McDonnell;Peter Zolliker;Klaus Mueller,103,51
Sven Bachthaler;Daniel Weiskopf,103,61
Kai BÃ¼rger;Jens H. KrÃ¼ger;RÃ¼diger Westermann,50,22
Carlos A. Dietrich;Carlos Eduardo Scheidegger;JoÃ£o Luiz Dihl Comba;Luciana Porcher Nedel;ClÃ¡udio T. Silva,50,9
Alark Joshi;Xiaoning Qian;Donald P. Dione;Ketan R. Bulsara;Christopher K. Breuer;Albert J. Sinusas;Xenophon Papademetris,25,17
Patrick Degener;Ruwen Schnabel;Christopher Schwartz;Reinhard Klein,15,9
Yi Wang;Doug A. Bowman;David M. Krum;Enylton Machado Coelho;Tonya L. Smith-Jackson;David Bailey;Sarah Peck;Swethan Anand;Trevor Kennedy;Yernar Abdrazakov,50,7
Thomas Schultz 0001;Hans-Peter Seidel,115,61
Jorik Blaas;Charl P. Botha;Frits H. Post,69,34
Yu-Shuen Wang;Tong-Yee Lee;Chiew-Lan Tai,48,26
Christoph Garth;Han Krishnan;Xavier Tricoche;Tom Tricoche;Kenneth I. Joy,89,40
Jing Hua;Zhaoqiang Lai;Ming Dong;Xianfeng Gu;Hong Qin,50,26
Jennis Meyer-Spradow;Lars Stegger;Christian DÃ¶ring;Timo Ropinski;Klaus H. Hinrichs,21,8
Johannes Kehrer;Florian LadstÃ¤dter;Philipp Muigg;Helmut Doleisch;Andrea K. Steiner;Helwig Hauser,64,32
Chaoli Wang;Hongfeng Yu;Kwan-Liu Ma,118,75
Bernd Hentschel 0001;Irene Tedjo-Palczynski;Markus Probst;Marc Wolter;Marek Behr;Christian H. Bischof;Torsten W. Kuhlen,31,17
Dominic Schneider;Alexander Wiebel;Hamish A. Carr;Mario Hlawitschka;Gerik Scheuermann,53,41
Kresimir Matkovic;Denis Gracanin;Mario Jelovic;Helwig Hauser,47,28
Gregory P. Johnson;Victor Calo;Kelly P. Gaither,50,5
Markus Hadwiger;Laura Fritz;Christof Rezk-Salama;Thomas HÃ¶llt;Georg Geier;Thomas Pabel,53,29
Xavier Tricoche;Gordon L. Kindlmann;Carl-Fredrik Westin,52,32
Alark Joshi;Dustin Scheinost;Kenneth P. Vives;Dennis D. Spencer;Lawrence H. Staib;Xenophon Papademetris,,15
Miriah D. Meyer;Ross T. Whitaker;Robert Michael Kirby;Christian Ledergerber;Hanspeter Pfister,58,30
Luke J. Gosink;John C. Anderson;E. Wes Bethel;Kenneth I. Joy,50,17
Ming-Yuen Chan;Huamin Qu;Ka-Kei Chung;Wai-Ho Mak;Yingcai Wu,50,6
Carlos Eduardo Scheidegger;John M. Schreiner;Brian Duffy;Hamish A. Carr;ClÃ¡udio T. Silva,52,28
Arno KrÃ¼ger;Christoph Kubisch;Gero StrauÃŸ;Bernhard Preim,41,21
Carlos D. Correa;Kwan-Liu Ma,197,99
Wolfram von Funck;Tino Weinkauf;Holger Theisel;Hans-Peter Seidel,84,33
Paul Rosenthal;Lars Linsen,50,8
Lars Linsen;Tran Van Long;Paul Rosenthal;Stephan Rosswog,50,21
Gregory Cipriano;Michael Gleicher,20,10
Jesus J. Caban;Penny Rheingans,101,54
Daniel Patel;Christopher Giertsen;John Thurmond;John Gjelberg;M. Eduard GrÃ¶ller,,21
John Sharko;Georges G. Grinstein;Kenneth A. Marx,56,30
David Koop;Carlos Eduardo Scheidegger;Steven P. Callahan;Juliana Freire;ClÃ¡udio T. Silva,94,40
Kaichi Zhou;Eugene Zhang;JirÃ­ Bittner;Peter Wonka,50,3
Frank Grave;Michael Buser,2,6
David Mayerich;Louise C. Abbott;John Keyser,19,9
Maurice Termeer;Javier OlivÃ¡n BescÃ³s;Marcel Breeuwer;Anna Vilanova;Frans A. Gerritsen;M. Eduard GrÃ¶ller;Eike Nagel,16,10
Hongwei Li;Chi-Wing Fu;Andrew J. Hanson,50,7
Bela Soni;David S. Thompson;Raghu Machiraju,19,8
Markus Glatter;Jian Huang 0007;Sean Ahern;Jamison Daniel;Aidong Lu,45,23
Christian Ledergerber;GaÃ«l Guennebaud;Miriah D. Meyer;Moritz BÃ¤cher;Hanspeter Pfister,50,20
Frank van Ham;Adam Perer,169,64
Tim Dwyer;Bongshin Lee;Danyel Fisher;Kori Inkpen Quinn;Petra Isenberg;George G. Robertson;Chris North,80,35
Harald Piringer;Christian Tominski;Philipp Muigg;Wolfgang Berger,53,27
Tamara Munzner,,200
Cydney B. Nielsen;Shaun D. Jackman;InanÃ§ Birol;Steven J. M. Jones,54,26
Katerina Vrotsou;Jimmy Johansson;Matthew D. Cooper,60,35
Christopher Collins;Gerald Penn;Sheelagh Carpendale,207,114
Michael Ogawa;Kwan-Liu Ma,86,33
Melanie Tory;Colin Swindells;Rebecca Dreezer,50,15
Aidan Slingsby;Jason Dykes;Jo Wood,77,42
Chris Weaver,50,5
Jin Chen;Alan M. MacEachren;Donna Peuquet,33,10
Hendrik Strobelt;Daniela Oelke;Christian Rohrdantz;Andreas Stoffel;Daniel A. Keim;Oliver Deussen,83,33
Yanhua Chen;Lijun Wang;Ming Dong;Jing Hua,58,27
Diansheng Guo,46,98
Christophe Hurter;Benjamin Tissoires;StÃ©phane Conversy,155,58
Bo Hyoung Kim;Bongshin Lee;Susan Knoblach;Eric P. Hoffman;Jinwook Seo,50,8
Matt McKeon,50,8
Michael J. McGuffin;Igor Jurisica,66,33
Sara Johansson;Jimmy Johansson,,64
Matthew Tobiasz;Petra Isenberg;Sheelagh Carpendale,94,34
Frank van Ham;Martin Wattenberg;Fernanda B. ViÃ©gas,147,58
Miriah D. Meyer;Tamara Munzner;Hanspeter Pfister,124,70
Fernanda B. ViÃ©gas;Martin Wattenberg;Jonathan Feinberg,336,136
Michael Bostock;Jeffrey Heer,307,105
Edward Clarkson;Krishna Desai;James D. Foley,69,25
Xiaoru Yuan;Peihong Guo;He Xiao;Hong Zhou;Huamin Qu,121,63
Zhicheng Liu;John T. Stasko;Timothy Sullivan,50,10
Jorik Blaas;Charl P. Botha;Edward Grundy;Mark W. Jones;Robert S. Laramee;Frits H. Post,44,21
Peter Bak;Florian Mansmann;HalldÃ³r Janetzko;Daniel A. Keim,66,27
Michael Douma;Grzegorz Ligierko;Ovidiu Ancuta;Pavel Gritsai;Sean Liu,,2
Taowei David Wang;Catherine Plaisant;Ben Shneiderman;Neil Spring;David Roseman;Greg Marchand;Vikramjit Mukherjee;Mark S. Smith,108,60
Sabrina Bresciani;Martin J. Eppler,76,25
Bryan McDonnel;Niklas Elmqvist,50,19
Chris Muelder;FranÃ§ois Gygi;Kwan-Liu Ma,31,14
Michel Crampes;Jeremy de Oliveira-Kumar;Sylvie Ranwez;Jean Villerd,11,12
Jian Zhang 0006;Chaomei Chen;Jiexun Li,27,14
Edward Swing,,0
Alex Endert;Christopher Andrews;Glenn A. Fink;Chris North,11,5
Gennady L. Andrienko;Natalia V. Andrienko;Salvatore Rinzivillo;Mirco Nanni;Dino Pedreschi;Fosca Giannotti,197,69
Chad A. Steed;J. Edward Swan;T. J. Jankun-Kelly;Patrick J. Fitzpatrick,50,14
Tarik Crnovrsanin;Chris Muelder;Carlos D. Correa;Kwan-Liu Ma,75,36
Krist Wongsuphasawat;Ben Shneiderman,81,26
Yi Han;Erich P. Stuntebeck;John T. Stasko;Gregory D. Abowd,15,6
Ho Van Quan;Tobias Ã…strÃ¶m;Mikael Jern,2,0
Carlos D. Correa;Yu-Hsuan Chan;Kwan-Liu Ma,75,39
Andrada Tatu;Georgia Albuquerque;Martin Eisemann;JÃ¶rn Schneidewind;Holger Theisel;Marcus A. Magnor;Daniel A. Keim,111,52
Jaegul Choo;Shawn Bohn;Haesun Park,50,26
Nazanin Kadivar;Victor Y. Chen;Dustin Dunsmuir;Eric Lee;Cheryl Z. Qian;John Dill;Chris Shaw 0002;Robert F. Woodbury,78,28
Yedendra Babu Shrinivasan;David Gotz;Jie Lu,50,12
Suvi Tarkkanen;Kaisa Miettinen;Jussi Hakanen,4,4
Stina S. Bridgeman,0,0
Yiwen Sun;Jason Leigh;Andrew E. Johnson;Dennis Chau,50,0
Mark A. Whiting;Chris North;Alex Endert;Jean Scholtz;Jereme Haack;Carrie Varley;James J. Thomas,11,3
Romain Vuillemot;Tanya E. Clement;Catherine Plaisant;Amit Kumar,60,16
Soujanya Vadapalli;Kamalakar Karlapalem,0,0
Ming C. Hao;HalldÃ³r Janetzko;Ratnesh K. Sharma;Umeshwar Dayal;Daniel A. Keim;MalÃº Castellanos,50,1
XiongFei Luo;Hongan Wang;Feng Tian 0001;Wei Liu 0023;Dongxing Teng;Guozhong Dai,1,0
Patricia Crossno;Daniel M. Dunlavy;Timothy M. Shead,20,7
Zhenyu Guo;Matthew O. Ward;Elke A. Rundensteiner,50,13
VinhTuan Thai;Siegfried Handschuh,0,0
Stuart J. Rose;Scott Butner;Wendy Cowley;Michelle L. Gregory;Julia Walker,50,13
Aba-Sah Dadzie;Daniela Petrelli,2,0
Christopher Collins;Fernanda B. ViÃ©gas;Martin Wattenberg,204,76
Jonathan W. Decker;Alex Godwin;Mark A. Livingston;Denise Royle,0,0
Derek Overby;John Keyser;Jim Wall,50,0
Courtney C. Dornburg;Laura E. Matzen;Travis L. Bauer;Laura A. McNamara,50,0
Dong Hyun Jeong;Tera Marie Green;William Ribarsky;Remco Chang,50,0
Gennady L. Andrienko;Natalia V. Andrienko;Peter Bak;Slava Kisilevich;Daniel A. Keim,50,8
Jean Scholtz,1,0
Steffen Koch;Harald Bosch;Mark Giereth;Thomas Ertl,45,12
Youn ah Kang;Carsten GÃ¶rg;John T. Stasko,74,28
Pak Chung Wong;Patrick Mackey;Kristin A. Cook;Randall M. Rohrer;Harlan Foote;Mark A. Whiting,12,4
Tatiana von Landesberger;Melanie GÃ¶rner;Tobias Schreck,37,12
Robert Kincaid;Kurt Dejgaard,7,6
Janko Dietzsch;Julian Heinrich;Kay Nieselt;Dirk Bartz,50,6
Boonthanome Nouanesengsy;Sang-Cheol Seok;Han-Wei Shen;Veronica J. Vieland,50,1
Daniela Oelke;Ming C. Hao;Christian Rohrdantz;Daniel A. Keim;Umeshwar Dayal;Lars-Erik Haug;HalldÃ³r Janetzko,103,24
Stephen Rudolph;Anya Samak;David S. Ebert,50,15
Thorsten Liebig;Olaf Noppens;Friedrich W. von Henke,50,0
Chad Jones;Michael Ogawa;James Shearer;Anna Tikhonova;Kwan-Liu Ma,1,0
Hao Zhou;Anna A. Shaverdian;H. V. Jagadish;George Michailidis,50,1
Jo Wood;Aidan Slingsby;Naz Khalili-Shavarini;Jason Dykes;David M. Mountain,0,0
Lorne Leonard,0,0
DÃ³ra ErdÃ¶s;Zsolt Fekete;AndrÃ¡s LukÃ¡cs,50,0
Harald Bosch;Julian Heinrich;Christoph MÃ¼ller 0001;Benjamin HÃ¶ferlin;Guido Reina;Markus HÃ¶ferlin;Michael WÃ¶rner 0001;Steffen Koch,12,1
Shraddha Agrawal;Kollukuduru Sravanthi;Soujanya Vadapalli;Kamalakar Karlapalem,50,0
David Allen;Tsai-Ching Lu;David Huber,2,0
Peter Bak;Christian Rohrdantz;Svenja Leifert;Christoph Granacher;Stefan Koch;Simon Butscher;Patrick Jungk;Daniel A. Keim,50,0
Georges G. Grinstein;Jean Scholtz;Mark A. Whiting;Catherine Plaisant,50,0
Paolo Simonetto;Pierre-Yves Koenig;Faraz Zaidi;Daniel W. Archambault;FrÃ©dÃ©ric Gilbert;Trung-Tien Phan-Quang;Morgan Mathiaut;Antoine Lambert;Jonathan Dubois;Ronan Sicre;Mathieu Brulin;RÃ©my Vieux;Guy MelanÃ§on,50,0
Jaegul Choo;Emily Fujimoto;Hanseung Lee;Pedro R. Walteros,0,0
Brandon Wright;Jason Payne;Matthew Steckman;Scott Stevson,,1
Claudia MÃ¼ller-Birn;Lukas Birn,0,0
Wei Chen 0001;Zi'ang Ding;Song Zhang 0004;Anna MacKay-Brandt;Stephen Correia;Huamin Qu;John Allen Crow;David F. Tate;Zhicheng Yan;Qunsheng Peng,54,27
Gustavo M. Machado;Manuel Menezes de Oliveira Neto;Leandro A. F. Fernandes,80,41
Jibonananda Sanyal;Song Zhang 0004;Gargi Bhattacharya;Philip Amburn;Robert J. Moorhead II,115,58
Laura Fritz;Markus Hadwiger;Georg Geier;Gerhard Pittino;M. Eduard GrÃ¶ller,50,10
Yong Wan;Hideo Otsuna;Chi-Bin Chien;Charles D. Hansen,64,47
Shigeo Takahashi;Issei Fujishiro;Masato Okada,33,19
Jianlong Zhou;Masahiro Takatsuka,74,42
Stefan Bruckner;Veronika SoltÃ©szovÃ¡;M. Eduard GrÃ¶ller;JirÃ­ Hladuvka;Katja BÃ¼hler;Jai Y. Yu;Barry J. Dickson,55,33
Behzad Sajadi;Maxim Lazarov;Meenakshisundaram Gopi;Aditi Majumder,72,32
Ã‡agatay Demiralp;John F. Hughes;David H. Laidlaw,50,10
Andrew S. Forsberg;Jian Chen;David H. Laidlaw,,24
Julian Heinrich;Daniel Weiskopf,68,48
Ove Daae Lampe;Carlos D. Correa;Kwan-Liu Ma;Helwig Hauser,31,20
David C. Banks;Kevin Beason,50,5
Maarten H. Everts;Henk Bekker;Jos B. T. M. Roerdink;Tobias Isenberg 0001,113,56
Radu Jianu;Ã‡agatay Demiralp;David H. Laidlaw,77,36
Roland Fraedrich;Jens Schneider;RÃ¼diger Westermann,50,26
Huamin Qu;Haomian Wang;Weiwei Cui;Yingcai Wu;Ming-Yuen Chan,40,20
Alan Chu;Chi-Wing Fu;Andrew J. Hanson;Pheng-Ann Heng,50,11
StÃ©phane Marchesin;Guillaume Colin de VerdiÃ¨re,,13
Johnson Chuang;Daniel Weiskopf;Torsten MÃ¶ller,50,21
Daniel F. Keefe;Marcus Ewert;William Ribarsky;Remco Chang,57,26
Kai BÃ¼rger;Florian Ferstl;Holger Theisel;RÃ¼diger Westermann,55,26
Kresimir Matkovic;Denis Gracanin;Borislav Klarin;Helwig Hauser,,16
Yingcai Wu;Ka-Kei Chung;Huamin Qu;Xiaoru Yuan;Shing-Chi Cheung,10,8
Michael Krone;Katrin Bidmon;Thomas Ertl,79,49
Yun Jang;Ugo Varetto,50,6
Guangyu Zou;Jing Hua;Zhaoqiang Lai;Xianfeng Gu;Ming Dong,50,22
Cong Wang;Yi-Jen Chiang,8,8
David Meirion Hughes;Ik Soo Lim,50,18
Julien Tierny;Attila Gyulassy;Eddie Simon;Valerio Pascucci,52,34
Mikhail Smelyanskiy;David R. Holmes III;Jatin Chhugani;Alan Larson;Doug Carmean;Dennis P. Hanson;Pradeep Dubey;Kurt Augustine;Daehyun Kim;Alan Kyker;Victor W. Lee;Anthony D. Nguyen;Larry Seiler;Richard A. Robb,89,35
Behzad Sajadi;Aditi Majumder,,26
Gregory Cipriano;George N. Phillips Jr.;Michael Gleicher,50,25
Timo Ropinski;Sven Hermann;Rainer Reich;Michael SchÃ¤fers 0001;Klaus H. Hinrichs,32,18
Ralph Brecheisen;Anna Vilanova;Bram Platel;Bart M. ter Haar Romeny,52,22
Ming-Yuen Chan;Yingcai Wu;Wai-Ho Mak;Wei Chen 0001;Huamin Qu,60,24
Benjamin Schindler;Raphael Fuchs;John Biddiscombe;Ronald Peikert,50,5
Colin Ware,50,7
Gordon L. Kindlmann;RaÃºl San JosÃ© EstÃ©par;Stephen M. Smith;Carl-Fredrik Westin,54,36
Won-Ki Jeong;Johanna Beyer;Markus Hadwiger;Amelio VÃ¡zquez Reina;Hanspeter Pfister;Ross T. Whitaker,68,34
Christian Dick;Joachim Georgii;Rainer Burgkart;RÃ¼diger Westermann,58,25
Ross Maciejewski;Insoo Woo;Wei Chen 0001;David S. Ebert,97,56
Kenneth Weiss;Leila De Floriani,50,5
Carlos D. Correa;Kwan-Liu Ma,103,55
Harinarayan Krishnan;Christoph Garth;Kenneth I. Joy,80,34
Tiago Etiene;Carlos Eduardo Scheidegger;Luis Gustavo Nonato;Robert Michael Kirby;ClÃ¡udio T. Silva,28,16
Emanuele Santos;Lauro Didier Lins;James P. Ahrens;Juliana Freire;ClÃ¡udio T. Silva,50,23
Heike Leitte;Michael BÃ¶ttinger;Uwe Mikolajewicz;Gerik Scheuermann,50,28
Stefan Zachow;Philipp Muigg;Thomas Hildebrandt;Helmut Doleisch;Hans-Christian Hege,37,18
Raphael Fuchs;JÃ¼rgen Waser;M. Eduard GrÃ¶ller,50,22
Teng-Yok Lee;Han-Wei Shen,50,28
Wei Chen 0001;Zhicheng Yan;Song Zhang 0004;John Allen Crow;David S. Ebert;Ronald M. McLaughlin;Katie B. Mullins;Robert Cooper;Zi'ang Ding;Jun Liao,50,3
Aaron Knoll;Younis Hijazi;Rolf Westerteiger;Mathias Schott;Charles D. Hansen;Hans Hagen,53,27
Angus Graeme Forbes;Tobias HÃ¶llerer;George Legrady,50,13
Marian DÃ¶rk;Dan Gruen;Carey L. Williamson;Sheelagh Carpendale,186,84
Justin Talbot;Sharon Lin;Pat Hanrahan,25,9
Miriah D. Meyer;Tamara Munzner;Angela H. DePace;Hanspeter Pfister,51,30
Alexander Lex;Marc Streit;Christian Partl;Karl Kashofer;Dieter Schmalstieg,74,36
Jeffrey Heer;Michael Bostock,80,32
Hoi Ying Tsang;Melanie Tory;Colin Swindells,54,26
Rita Borgo;Karl J. Proctor;Min Chen;Heike Leitte;Tavi Murray;Ian M. Thornton,50,12
Nan Cao;Jimeng Sun;Yu-Ru Lin;David Gotz;Shixia Liu;Huamin Qu,94,46
Anastasia Bezerianos;Pierre Dragicevic;Jean-Daniel Fekete;Juhee Bae;Benjamin Watson,61,30
Hadley Wickham;Dianne Cook;Heike Hofmann;Andreas Buja,52,29
Waqas Javed;Bryan McDonnel;Niklas Elmqvist,127,68
Trevor M. O'Brien;Anna M. Ritz;Benjamin J. Raphael;David H. Laidlaw,50,12
Lars Grammel;Melanie Tory;Margaret-Anne D. Storey,137,52
Caroline Ziemkiewicz;Robert Kosara,50,6
Kyle Koh;Bongshin Lee;Bo Hyoung Kim;Jinwook Seo,76,43
David Feng;Lester Kwock;Yueh Lee;Russell M. Taylor II,58,28
Zhicheng Liu;John T. Stasko,175,62
Edward Segel;Jeffrey Heer,493,183
Bettina Speckmann;Kevin Verbeek,,26
Yingcai Wu;Furu Wei;Shixia Liu;Norman Au;Weiwei Cui;Hong Zhou;Huamin Qu,139,65
Aritra Dasgupta;Robert Kosara,83,56
Claurissa Tuttle;Luis Gustavo Nonato;ClÃ¡udio T. Silva,27,14
Nicholas Kong;Jeffrey Heer;Maneesh Agrawala,77,36
Jason Dykes;Jo Wood;Aidan Slingsby,47,20
Robert Kincaid,50,27
Bongshin Lee;Nathalie Henry Riche;Amy K. Karlson;Sheelagh Carpendale,156,68
Dang Tuan Nhon;Leland Wilkinson;Anushka Anand,36,23
Christophe Viau;Michael J. McGuffin;Yves Chiricota;Igor Jurisica,71,36
Dominikus Baur;Frederik Seiffert;Michael Sedlmair;Sebastian Boring,50,17
Stephan Diehl 0001;Fabian Beck 0001;Michael Burch,52,24
Nathalie Henry Riche;Tim Dwyer,115,64
Tuan Pham;Rob Hess;Crystal Ju;Eugene Zhang;Ronald A. Metoyer,29,15
Stefan JÃ¤nicke;Christian Heine 0002;Marc Hellmuth;Peter F. Stadler;Gerik Scheuermann,50,8
Danyel Fisher;Steven M. Drucker;Roland Fernandez;Scott Ruble,,10
Justin Talbot;Pat Hanrahan,0,0
Minoo Erfani Joorabchi;Ji-Dong Yim;Mona Erfani Joorabchi;Chris Shaw 0002,2,1
Tobias Ruppert;JÃ¶rn Kohlhammer,2,0
William C. Ray,50,0
Derek Overby;John Keyser;Jim Wall,50,0
Maryam Nafari;Chris Weaver,0,0
Ming C. Hao;Manish Marwah;HalldÃ³r Janetzko;Daniel A. Keim;Umeshwar Dayal;Ratnesh K. Sharma;Debprakash Patnaik;Naren Ramakrishnan,1,1
Moshe Gutman;Gina Eosco;Monica Zappa;Chris Weaver,0,0
Tera Marie Green;Ross Maciejewski;Steve DiPaola,50,2
J. Alex Godwin;Ryan M. Kilgore,1,1
Stephanie Dudzic;J. Alex Godwin;Ryan M. Kilgore,50,1
JÃ¼rgen Bernard;Tatiana von Landesberger;Sebastian Bremm;Tobias Schreck,3,1
Wolfgang Berger;Harald Piringer,50,4
Stephen Ingram;Tamara Munzner;Veronika Irvine;Melanie Tory;Steven Bergner;Torsten MÃ¶ller,89,25
Malgorzata Migut;Marcel Worring,50,14
Georgia Albuquerque;Martin Eisemann;Dirk J. Lehmann;Holger Theisel;Marcus A. Magnor,50,20
Jaegul Choo;Hanseung Lee;Jaeyeon Kihm;Haesun Park,59,39
Bilkis J. Ferdosi;Hugo Buddelmeijer;Scott C. Trager;Michael H. F. Wilkinson;Jos B. T. M. Roerdink,0,12
Yu-Hsuan Chan;Carlos D. Correa;Kwan-Liu Ma,50,21
Zicheng Liao;Yizhou Yu;Baoquan Chen,50,27
Gennady L. Andrienko;Natalia V. Andrienko;Martin Mladenov;Michael Mock;Christian PÃ¶litz,50,13
Supriya Garg;I. V. Ramakrishnan;Klaus Mueller,13,8
Chris Weaver,15,5
Hartmut Ziegler;Marco Jenny;Tino Gruse;Daniel A. Keim,48,26
Shantanu H. Joshi;Ian Bowman;John D. Van Horn,1,0
Narges Mahyar;Ali Sarvghad;Melanie Tory,18,6
Petra Isenberg;Danyel Fisher;Meredith Ringel Morris;Kori Inkpen Quinn;Mary Czerwinski,76,27
Yang Chen;Scott Barlowe;Jing Yang 0001,50,11
Jing Jin;Pedro A. Szekely,28,7
Brian M. Tomaszewski;Alan M. MacEachren,23,4
Nadia Boukhelifa;Fanny Chevalier;Jean-Daniel Fekete,50,3
Zhicheng Liu;Bongshin Lee;Srikanth Kandula;Ratul Mahajan,50,8
Nicholas Diakopoulos;Mor Naaman;Funda Kivran-Swaine,188,62
Daniela Oelke;David Spretke;Andreas Stoffel;Daniel A. Keim,50,2
Lei Shi;Furu Wei;Shixia Liu;Li Tan;Xiaoxiao Lian;Michelle X. Zhou,64,23
Haeyong Chung;Seungwon Yang;Naveed Massjouni;Christopher Andrews;Rahul Kanna;Chris North,30,9
Patrick Oesterling;Gerik Scheuermann;Sven Teresniak;Gerhard Heyer;Steffen Koch;Thomas Ertl;Gunther H. Weber,10,11
Orland Hoeber;Garnett Carl Wilson;Simon Harding;RenÃ© Enguehard;Rodolphe Devillers,50,3
Dong Hyun Jeong;Evan A. Suma;Thomas Butkiewicz;William Ribarsky;Remco Chang,50,1
Minoo Erfani Joorabchi;Ji-Dong Yim;Chris Shaw 0002,7,3
Gennady L. Andrienko;Natalia V. Andrienko,20,9
Tera Marie Green;Brian D. Fisher,50,15
Heather Lipford;Felesia Stukes;Wenwen Dou;Matthew E. Hawkins;Remco Chang,37,14
Wenwen Dou;Caroline Ziemkiewicz;Lane Harrison;Dong Hyun Jeong;Roxanne Ryan;William Ribarsky;Xiaoyu Wang;Remco Chang,50,3
Eric E. Monson;Guangliang Chen;Rachel Brady;Mauro Maggioni,3,1
Thorsten May;James Davey;JÃ¶rn Kohlhammer,0,0
Marielle Mokhtari;Eric Boivin;Denis Laurendeau;Maxime Girardin,50,2
Jian Cui;Paul Rosen;Voicu Popescu;Christoph M. Hoffmann,50,14
Pablo Roman;Maxim Lazarov;Aditi Majumder,36,19
Lijie Xu;Teng-Yok Lee;Han-Wei Shen,113,56
Min Chen;Heike Leitte,97,59
Allen R. Sanderson;Guoning Chen;Xavier Tricoche;David Pugmire;Scott Kruger;Joshua A. Breslau,50,11
Peter Kok;Martin Baiker;Emile A. Hendriks;Frits H. Post;Jouke Dijkstra;Clemens W. G. M. LÃ¶wik;Boudewijn P. F. Lelieveldt;Charl P. Botha,27,16
Paolo Brivio;Marco Tarini;Paolo Cignoni,50,16
Paul Bendich;Herbert Edelsbrunner;Michael Kerber,53,34
Marco Ament;Daniel Weiskopf;Hamish A. Carr,50,14
Dirk J. Lehmann;Holger Theisel,25,13
Zahid Hossain 0001;Torsten MÃ¶ller,50,13
Roland Fraedrich;Stefan Auer;RÃ¼diger Westermann,84,28
Olga A. Karpenko;Wilmot Li;Niloy J. Mitra;Maneesh Agrawala,18,9
Ahmed Saad;Ghassan Hamarneh;Torsten MÃ¶ller,42,13
Roy van Pelt;Javier OlivÃ¡n BescÃ³s;Marcel Breeuwer;Rachel E. Clough;M. Eduard GrÃ¶ller;Bart M. ter Haar Romeny;Anna Vilanova,57,28
Byeonghun Lee;Jihye Yun;Jinwook Seo;Byonghyo Shim;Yeong-Gil Shin;Bo Hyoung Kim,26,11
Christoph Garth;Kenneth I. Joy,50,18
Lingyun Yu;Pjotr Svetachov;Petra Isenberg;Maarten H. Everts;Tobias Isenberg 0001,76,24
Usman R. Alim;Torsten MÃ¶ller;Laurent Condat,50,6
Silvia Born;Alexander Wiebel;Jan Friedrich;Gerik Scheuermann;Dirk Bartz,50,23
Won-Ki Jeong;Jens Schneider;Stephen G. Turney;Beverly E. Faulkner-Jones;Dominik Meyer;RÃ¼diger Westermann;R. Clay Reid;Jeff Lichtman;Hanspeter Pfister,50,16
Florian Ferstl;Kai BÃ¼rger;Holger Theisel;RÃ¼diger Westermann,28,12
Joel Daniels II;Erik W. Anderson;Luis Gustavo Nonato;ClÃ¡udio T. Silva,43,27
Kresimir Matkovic;Denis Gracanin;Mario Jelovic;Andreas Ammer;Alan Lez;Helwig Hauser,39,17
Seon Joo Kim;Shaojie Zhuo;Fanbo Deng;Chi-Wing Fu;Michael S. Brown,50,14
Mathias Hummel;Christoph Garth;Bernd Hamann;Hans Hagen;Kenneth I. Joy,68,26
Jibonananda Sanyal;Song Zhang 0004;Jamie Dyer;Andrew Mercer 0001;Philip Amburn;Robert J. Moorhead II,69,101
Marc Khoury;Rephael Wenger,50,14
Amel Guetat;Alexandre Ancel;StÃ©phane Marchesin;Jean-Michel Dischler,18,8
Alvin J. Law;Daniel G. Aliaga;Aditi Majumder,50,7
Stefan Bruckner;Torsten MÃ¶ller,86,46
Xiaoru Yuan;He Xiao;Hanqi Guo;Peihong Guo;Wesley Kendall;Jian Huang 0007;Yongxian Zhang,24,10
Stefan Lindholm;Patric Ljung;Claes LundstrÃ¶m;Anders Persson;Anders Ynnerman,50,13
Thomas MÃ¼ller 0005;Sebastian Grottel;Daniel Weiskopf,12,7
Tino Weinkauf;Holger Theisel,69,32
Thomas Schultz 0001;Gordon L. Kindlmann,68,60
Wei Zeng;Joseph Marino;Krishna Chaitanya Gurijala;Xianfeng Gu;Arie E. Kaufman,65,34
Laura Tateosian;Helena MitÃ¡sovÃ¡;Brendan Harmon;Brent Fogleman;Katherine Weaver;Russell S. Harmon,50,14
Fernando Vieira Paulovich;ClÃ¡udio T. Silva;Luis Gustavo Nonato,74,47
JÃ¶rg-Stefan PraÃŸni;Timo Ropinski;Klaus H. Hinrichs,60,30
Ziyi Zheng;Wei Xu;Klaus Mueller,11,5
StÃ©phane Marchesin;Cheng-Kai Chen;Chris Ho;Kwan-Liu Ma,82,33
Samuel Gerber;Peer-Timo Bremer;Valerio Pascucci;Ross T. Whitaker,88,34
Artem Amirkhanov;Christoph Heinzl;Michael Reiter;M. Eduard GrÃ¶ller,50,9
Anna Tikhonova;Carlos D. Correa;Kwan-Liu Ma,50,22
Chad Jones;Kwan-Liu Ma,50,5
Nan Zhang;Xiangmin Zhou;Yunhe Shen;Robert M. Sweet,5,2
