AuthorNames-Deduped,AminerCitationCount_02-2019,XPloreCitationCount_02-2019
Amitabh Varshney;Frederick P. Brooks Jr.;David C. Richardson;William V. Wright;Dinesh Manocha,50,5
Ed Huai-hsin Chi;Phillip Barry;Elizabeth Shoop;John V. Carlis;Ernest F. Retzel;John Riedl,15,6
Victoria Interrante;Henry Fuchs;Stephen M. Pizer,169,49
Xiaoyang Mao;Lichan Hong;Arie E. Kaufman,50,12
Insung Ihm;Rae Kyoung Lee,29,7
Craig M. Wittenbrink,56,16
Martin Suter;Daniel NÃ¼esch,34,7
David Koller;Peter Lindstrom;William Ribarsky;Larry F. Hodges;Nickolas Faust;Gregory A. Turner,269,31
John Peter Lee;Georges G. Grinstein,55,14
Rosane Minghim;A. Robin Forrest,70,26
Lawrence D. Bergman;Bernice E. Rogowitz;Lloyd Treinish,238,62
Andrew J. Hanson;Hui Ma,50,5
Markus H. Gross;Roger Gatti;Oliver G. Staadt,183,34
Han-Wei Shen;Christopher R. Johnson 0001,129,30
Issei Fujishiro;Yuji Maeda;Hiroshi Sato,54,19
Byeong-Seok Shin;Yeong-Gil Shin,10,1
RÃ¼diger Westermann,,26
GÃ¼nter Knittel,50,9
Pak Chung Wong;R. Daniel Bergeron,24,7
Mohammad H. Ghavamnia;Xue D. Yang,,21
ClÃ¡udio T. Silva;Joseph S. B. Mitchell;Arie E. Kaufman,53,7
Rob Ingram;Steve Benford,64,11
Gene Golovchinsky;Klaus Reichenberger;Thomas Kamps,18,1
Thomas A. Wagner;R. Daniel Bergeron,,2
Wim C. de Leeuw;Jarke J. van Wijk,125,33
Lichan Hong;Xiaoyang Mao;Arie E. Kaufman,50,2
Don Dovey,50,11
John K. Johnstone;Kenneth R. Sloan,24,5
Greg Abram;Lloyd Treinish,167,42
Allen R. Martin;Matthew O. Ward,224,72
Daniel A. Keim;Mihael Ankerst;Hans-Peter Kriegel,279,66
Frank J. Post;Theo van Walsum;Frits H. Post;Deborah Silver,168,49
Taosong He;Lichan Hong;Arie E. Kaufman;Amitabh Varshney;Sidney W. Wang,157,20
Jurriaan D. Mulder;Jarke J. van Wijk,0,10
Shyh-Kuang Ueng;Kris Sikorski;Kwan-Liu Ma,31,9
David N. Kenwright;David A. Lane,52,12
Barry G. Becker;Nelson L. Max;David A. Lane,85,10
Nathalie Prevost;Ray E. Jennings;Loki JÃ¶rgenson;F. David Fracchia,,0
Daryl H. Hepting;Gianne Derks;Kossi D. Edoh;Robert D. Russell,13,2
Andreas A. MÃ¼ller,0,0
G. David Kerlick,,1
Monika Hannemann;Helmut Sobieczky,,3
Roni Yagel;Shao-Chiung Lu;Alec B. Rebello;R. A. Miller,50,4
F. David Fracchia;Neil W. Ashton,50,1
William E. Lorensen,74,17
Richard Gooch,50,3
Hans-Georg Pagendarm;Thomas Gerhold,,2
Yves Jean;Thomas Kindler;William Ribarsky;Weiming Gu;Greg Eisenhauer;Karsten Schwan;Fred Alyea,25,7
Arthur E. Mynett;I. Ari Sadarjoen;A. J. S. Hin,,2
Penny Rheingans;John Nichols,50,2
Guy W. Oliver,3,5
Charles Falkenberg;Ravi Kulkarni,0,0
Steven F. Roth;Peter Lucas 0002;Jeffrey Senn;Cristina C. Gomberg;Michael B. Burks;Philip J. Stroffolino;John A. Kolojechick;Carolyn Dunmire,230,34
Michelle X. Zhou;Steven K. Feiner,79,9
Rick Kazman;S. Jeromy CarriÃ¨re,50,5
Mei C. Chuah;Steven F. Roth,122,32
Alan Keahey;Edward L. Robertson,,38
Sheelagh Carpendale;David J. Cowperthwaite;F. David Fracchia,110,13
Graham J. Wills,102,32
Keith Andrews;Michael Pichler;Peter Wolf,50,5
Sougata Mukherjea;Kyoji Hirata;Yoshinori Hara,50,8
David S. Ebert;Chris Shaw 0002;Amen Zwa;Ethan L. Miller;D. Aaron Roberts,50,6
Kenneth C. Cox;Dianne Hackborn,50,0
Amitabh Varshney;Arie E. Kaufman,63,11
Chris Bentley;Matthew O. Ward,68,15
Pak Chung Wong;Andrew H. Crabb;R. Daniel Bergeron,17,4
Naim Alper;Chuck Stein,,4
Tamara Munzner;Eric Hoffman;Kimberly C. Claffy;Bill Fenner,97,27
Mark Gray;Albert N. Badre;Mark Guzdial,50,6
David A. Rushall;Marc R. Ilgen,,8
Liqun Jin;David C. Banks,50,2
Erwin Keeve;Sabine Girod;Paula Pfeifle;Bernd Girod,,24
Baba C. Vemuri;Chhandomay Mandal,50,0
Daniel Cohen-Or;Yishay Levanoni,,23
Georges-Pierre Bonneau;Stefanie Hahmann;Gregory M. Nielson,65,20
Taosong He;Arie E. Kaufman,50,10
Jane Wilhelms;Allen Van Gelder;Paul Tarantino;Jonathan Gibbs,67,26
Klaus Mueller;Roni Yagel,91,17
Shiaofen Fang;Rajagopalan Srinivasan;Su Huang;Raghu Raghavan,,8
Jason D. Wood;Ken Brodlie;Helen Wright,,25
Luc Beaudoin;Marc-Antoine Parent;Louis C. Vroomen,71,15
William J. Schroeder;Ken Martin;William E. Lorensen,318,41
Daniel G. Aliaga,96,11
Malte ZÃ¶ckler;Detlev Stalling;Hans-Christian Hege,,52
Thomas FrÃ¼hauf,,2
Ming-Hoe Kiu;David C. Banks,37,16
Matthew Chalmers,,69
Ed Huai-hsin Chi;John Riedl;Elizabeth Shoop;John V. Carlis;Ernest F. Retzel;Phillip Barry,0,9
Pak Chung Wong;R. Daniel Bergeron,50,23
Gill Barequet;Daniel Shapiro;Ayellet Tal,,7
Deborah Silver;Xin Wang,91,27
Daniel Cohen-Or;David Levin;Amira Solomovici,50,14
Chris Weigle;David C. Banks,38,17
Robert G. Hughes;A. Robin Forrest,,5
Suresh K. Lodha;Catherine M. Wilson;Robert E. Sheehan,,16
Ricardo S. Avila;Lisa M. Sobierajski,50,93
David S. Ebert;Chris Shaw 0002;Amen Zwa;Cindy Starr,0,9
Victoria Interrante;Henry Fuchs;Stephen M. Pizer,,19
Penny Rheingans,,14
Taosong He;Lichan Hong;Arie E. Kaufman;Hanspeter Pfister,,0
William F. Garrett;Henry Fuchs;Mary C. Whitton;Andrei State,65,8
Steve Bryson;David N. Kenwright;Michael J. Gerald-Yamasaki,26,7
Suresh K. Lodha;Alex T. Pang;Robert E. Sheehan;Craig M. Wittenbrink,155,31
Steve Bryson;Sandy Johan,67,12
Christopher G. Healey,50,65
Roger Crawfis,50,3
Milana Huang;Robert P. Grzeszczuk;Louis H. Kauffman,50,3
Han-Wei Shen;Charles D. Hansen;Yarden Livnat;Christopher R. Johnson 0001,,55
Song Han;GÃ©rard G. Medioni,50,1
Takayuki Itoh;Yasushi Yamaguchi;Koji Koyamada,65,15
Reinhard Klein;Gunther Liebich;Wolfgang StraÃŸer,,55
Francine Evans;Steven Skiena;Amitabh Varshney,338,61
Julie C. Xia;Amitabh Varshney,50,98
Raj Shekhar;Elias Fayyad;Roni Yagel;J. Fredrick Cornhill,0,64
Upul Obeysekare;Chas Williams;Jim Durbin;Lawrence J. Rosenblum;Robert Rosenberg;Fernando Grinstein;Ravi Ramamurthi;Alexandra Landsberg;William Sandberg,50,10
David Rossiter;Wai-Yin Ng,,0
Florian Sobieczky,,2
Alan D. Kalvin;Alfredo Remy;Orlando Ardito;Kim Morla;Eduardo Nolasco;Jorge Prado;Regulo Franco;Antonio Murga;Guillermo Wiese,,2
Colin R. F. Monks;Patricia Crossno;George S. Davidson;Constantine J. Pavlakos;Abraham Kupfer;ClÃ¡udio T. Silva;Brian N. Wylie,27,4
Karel J. Zuiderveld;Peter M. A. van Ooijen;John W. C. Chin-A-Woeng;Pieter C. Buijs;Marco Olree;Frits H. Post,17,4
Vishram Pandit;Robert McDermott;Gianluca Lazzi;Cynthia Furse;Om Gandhi,,6
Georgios Sakas;Michael G. Vicker;Peter JÃ¶rg Plath,50,9
Martin Roth;Ronald Peikert,79,17
Aaron Trott;Robert J. Moorhead II;John McGinley,50,18
Ed Boring;Alex T. Pang,,8
Jens C. Trapp;Hans-Georg Pagendarm,,5
John G. Hagedorn;Holly E. Rushmeier;John Blendell;Mark Vaudin,50,0
Shao-Chiung Lu;Alec B. Rebello;D. H. Cui;Roni Yagel;R. A. Miller;G. L. Kinzel,,0
Shao-Chiung Lu;Alec B. Rebello;D. H. Cui;Roni Yagel;R. A. Miller;G. L. Kinzel,50,1
James S. Painter;Hans-Peter Bunge;Yarden Livnat,50,3
Yingcai Xiao;John P. Ziebarth;Chuck Woodbury;Eric Bayer;Bruce Rundell;Jeroen van der Zijp,50,3
Adam B. Forgang;Bernd Hamann;Carl F. Cerco,,2
David C. Banks;Bernd Hamann;Po-Yu Tsai;Robert J. Moorhead II;Jonathan Barlow,,0
Sheelagh Carpendale;Andrew Fall;David J. Cowperthwaite;Joseph Fall;F. David Fracchia,,2
